movie_id,title,genres,description
215,Valerian and the City of a Thousand Planets,Sci-Fi Adventure,"Special operatives protect a vast futuristic civilization."
216,Alita Battle Angel,Action Sci-Fi,"A cybernetic girl searches for her mysterious past."
217,Ghost in the Shell,Action Sci-Fi,"A cyber-enhanced human hunts a dangerous hacker."
218,Ender's Game,Sci-Fi Action,"A brilliant teen trains for an alien war."
219,The Fifth Element,Sci-Fi Adventure,"A taxi driver joins a mission to save the world from a cosmic threat."
220,Serenity,Sci-Fi Action,"A crew avoids government forces while protecting a mysterious girl."

221,Hotel Transylvania,Animation Comedy,"Dracula runs a hotel for monsters until a human arrives."
222,Sing,Animation Comedy,"Animals compete in a singing contest to save a failing theater."
223,Megamind,Animation Comedy,"A villain finally defeats his rival but becomes bored without a hero."
224,Bolt,Animation Family,"A TV star dog thinks he has real powers and goes on a rescue mission."
225,Ice Age,Animation Adventure,"Ice Age animals go on a journey to return a human baby."
226,Ice Age: Dawn of the Dinosaurs,Animation Comedy,"The herd discovers a lost world underground."
227,Madagascar,Animation Comedy,"Zoo animals accidentally get shipped to the wild."
228,Madagascar Escape 2 Africa,Animation Family,"The group continues their adventure after crash landing in Africa."
229,Cloudy with a Chance of Meatballs,Animation Comedy,"A scientist invents a machine that makes food fall from the sky."
230,Rio,Animation Adventure,"A domesticated bird learns to fly while exploring Brazil."

231,The Blind Side,Drama Biography,"A homeless teen becomes an NFL star with support from a caring family."
232,A Beautiful Mind,Drama Biography,"A brilliant mathematician struggles with mental illness."
233,The Theory of Everything,Biography Drama,"The story of physicist Stephen Hawking and his battle with ALS."
234,Bohemian Rhapsody,Biography Music,"Freddie Mercury and Queen rise to fame despite personal struggles."
235,Rocketman,Biography Music,"Elton John's life and music journey unfold."
236,Walk the Line,Biography Drama,"Johnny Cash rises to fame and battles addiction."
237,The Greatest Showman,Musical Drama,"A visionary creates a dazzling show despite criticism."
238,Les Misérables,Musical Drama,"Lives intersect during revolution and injustice in France."
239,Whiplash,Drama Music,"A drummer faces extreme pressure from his demanding instructor."
240,Sweeney Todd,Musical Horror,"A barber seeks revenge with bloody consequences."

241,The Aviator,Biography Drama,"Howard Hughes rises in aviation while struggling with mental health."
242,Spotlight,Biography Drama,"Investigative journalists expose a massive church scandal."
243,The Big Lebowski,Comedy Crime,"A laid-back man is pulled into a chaotic identity mix-up."
244,Fight with My Family,Comedy Biography,"A wrestler rises from obscurity to WWE fame."
245,The Intern,Comedy Drama,"A retired man becomes an intern at a modern startup."
246,Yes Man,Comedy Romance,"A man changes his life by saying yes to everything."
247,The Hangover,Comedy Adventure,"Three friends retrace steps after losing their groom before a wedding."
248,Superbad,Comedy Teen,"Two high school friends face awkward adventures before graduation."
249,Step Brothers,Comedy,"Two adults forced to live together behave like children."
250,Home Alone,Family Comedy,"A boy defends his home from burglars after being left behind."
251,Home Alone 2: Lost in New York,Family Comedy,"Kevin accidentally ends up in New York during the holidays."
252,Night at the Museum,Adventure Comedy,"A museum guard discovers exhibits come to life at night."
253,Night at the Museum: Battle of the Smithsonian,Adventure Comedy,"Larry follows the exhibits to Washington DC."
254,Enchanted,Fantasy Romance,"A princess from an animated world ends up in modern New York."
255,Maleficent,Fantasy Drama,"The classic Sleeping Beauty story told through the villain's eyes."
256,Cinderella,Fantasy Romance,"A mistreated girl gets magical help to attend a royal ball."
257,Beauty and the Beast,Fantasy Romance,"A book-loving young woman falls for a cursed prince."
258,The Little Mermaid,Fantasy Musical,"A mermaid dreams of living on land and falls in love with a prince."
259,Aladdin,Fantasy Adventure,"A street thief finds a magical lamp and a genie grants his wishes."
260,Mulan,Adventure Action,"A young woman disguises herself as a soldier to save her father."

261,Taken 2,Action Thriller,"Bryan Mills faces revenge from those he defeated before."
262,Taken 3,Action Thriller,"Bryan is framed and must clear his name while protecting his daughter."
263,The Mechanic,Action Thriller,"A professional hitman takes on a dangerous apprentice."
264,London Has Fallen,Action Thriller,"A terrorist attack targets world leaders during a funeral."
265,Angel Has Fallen,Action Thriller,"A Secret Service agent is framed for an attempted assassination."
266,Olympus Has Fallen,Action Thriller,"Terrorists take over the White House, and one man must stop them."
267,The Expendables,Action Adventure,"A team of elite mercenaries takes dangerous missions for justice."
268,The Expendables 2,Action Adventure,"A new enemy forces the team to fight harder than ever."
269,The Expendables 3,Action Adventure,"A younger generation joins the old team to take down a warlord."
270,Rambo,Action War,"Rambo returns for one final mission of rescue and revenge."

271,Detective Pikachu,Fantasy Adventure,"A young man teams up with a talking Pikachu to solve a mystery."
272,Sonic the Hedgehog,Comedy Adventure,"A fast alien hedgehog battles a scientist trying to capture him."
273,Sonic the Hedgehog 2,Comedy Adventure,"Sonic faces new enemies while discovering his purpose."
274,Uncharted,Adventure Action,"Treasure hunters race across the world to find a lost fortune."
275,Jungle Cruise,Adventure Fantasy,"A riverboat captain helps a scientist search for a magical tree."
276,Red Notice,Action Comedy,"An FBI profiler joins two thieves on a global chase."
277,Central Intelligence,Action Comedy,"A former nerd turned spy drags his old friend into a mission."
278,Game Night,Comedy Mystery,"A group of friends unknowingly becomes part of a real crime plot."
279,Free Guy,Action Sci-Fi,"A video game NPC becomes self-aware and rewrites his destiny."
280,Ready Player One,Action Sci-Fi,"Gamers compete to control a virtual world full of nostalgia."

281,Moana 2,Animation Adventure,"Moana sets off on another journey across the ocean."
282,Elemental,Animation Romance,"Opposites from fire and water worlds fall in love."
283,Luca,Animation Family,"A young sea monster discovers life on land and new friendships."
284,Turning Red,Animation Comedy,"A girl transforms into a giant red panda when emotional."
285,Soul,Animation Fantasy,"A jazz musician explores the afterlife and the meaning of life."
286,Encanto,Animation Family,"A magical family must save their miracle when things start failing."
287,The Good Dinosaur,Animation Adventure,"A dinosaur and a young boy form an unexpected friendship."
288,Cars,Animation Comedy,"A race car gets stranded in a small town that changes his life."
289,Cars 2,Animation Action,"Lightning McQueen becomes involved in international espionage."
290,Cars 3,Animation Family,"McQueen trains to prove he still belongs in racing."

291,The Nun II,Horror Mystery,"The terrifying demon nun returns with new victims."
292,Smile,Horror Mystery,"A curse spreads after witnesses see disturbing smiling hallucinations."
293,Bird Box,Horror Thriller,"Survivors must stay blindfolded to avoid deadly creatures."
294,Hereditary,Horror Drama,"A family unravels disturbing secrets after the grandmother’s death."
295,Midsommar,Horror Thriller,"A festival turns sinister when dark rituals are revealed."
296,The Babadook,Horror Psychological,"A mother and son face a frightening entity from a mysterious book."
297,Sinister,Horror Mystery,"A writer discovers tapes showing chilling crimes committed by a demon."
298,The Others,Horror Mystery,"A woman protects her children from unseen forces in a haunted house."
299,The Exorcist,Horror Classic,"A young girl becomes possessed by a powerful demon."
300,Poltergeist,Horror Classic,"A family's home becomes invaded by malevolent spirits."

301,The Princess Bride,Fantasy Comedy,"A fairytale adventure full of love, humor, and sword fighting."
302,The NeverEnding Story,Fantasy Adventure,"A boy enters a magical world at risk of disappearing."
303,Labyrinth,Fantasy Adventure,"A girl must solve a magical maze to rescue her baby brother."
304,Willow,Fantasy Adventure,"A reluctant hero protects a baby destined to save the world."
305,Eragon,Fantasy Adventure,"A young boy becomes a dragon rider and fights an evil king."
306,Inkheart,Fantasy Family,"Characters escape from books into the real world."
307,Percy Jackson & the Olympians: The Lightning Thief,Fantasy Adventure,"A boy discovers he's a demigod and must stop a war among gods."
308,Percy Jackson: Sea of Monsters,Fantasy Adventure,"Percy searches for the Golden Fleece to protect his friends."
309,Seventh Son,Fantasy Action,"The last of a mystical order trains an apprentice to fight evil."
310,Stardust,Fantasy Romance,"A young man enters a magical realm to retrieve a fallen star."

311,The Founder,Biography Drama,"The story of the businessman behind the McDonald's franchise."
312,Steve Jobs,Biography Drama,"The complicated life and innovation of Apple’s co-founder."
313,The Social Dilemma,Documentary Drama,"A chilling look at how social media manipulates society."
314,The Post,Historical Drama,"Journalists fight to expose government secrets in wartime."
315,Frost/Nixon,Historical Drama,"A British journalist interrogates the disgraced U.S. President."
316,Darkest Hour,Historical War,"Winston Churchill faces political pressure during WWII."
317,Lincoln,Historical Drama,"Abraham Lincoln works to abolish slavery during the Civil War."
318,Milk,Biography Drama,"The political activism of Harvey Milk changes history."
319,Chaplin,Biography Drama,"The life and career of Charlie Chaplin from silence to fame."
320,First Man,Biography Space,"Neil Armstrong's journey to becoming the first man on the moon."

321,Nausicaä of the Valley of the Wind,Animation Fantasy,"A princess protects nature from war and destruction."
322,The Boy and the Heron,Animation Fantasy,"A mysterious journey exploring grief and imagination."
323,Weathering With You,Anime Romance,"A runaway boy meets a girl who can control the weather."
324,Your Name,Anime Fantasy Romance,"Two teenagers mysteriously switch bodies and fall in love."
325,Suzume,Anime Adventure,"A girl closes doors that release supernatural disasters."
326,A Silent Voice,Anime Drama,"A boy seeks redemption after bullying a deaf classmate."
327,Demon Slayer: Mugen Train,Anime Action,"A demon slayer protects passengers from deadly demons."
328,Jujutsu Kaisen 0,Anime Action,"A cursed boy joins sorcerers to control his power."
329,My Hero Academia: Two Heroes,Anime Action,"Heroes face a terrorist plot aboard a high-tech ship."
330,Dragon Ball Super: Broly,Anime Action,"Goku and Vegeta face a powerful Saiyan warrior."

331,The Last Witch Hunter,Fantasy Action,"An immortal warrior battles a resurgence of witchcraft."
332,John Carter,Sci-Fi Adventure,"A Civil War veteran is transported to Mars and becomes a hero."
333,Mortal Engines,Sci-Fi Adventure,"Cities move on wheels and battle for dominance in a post-apocalyptic world."
334,Gods of Egypt,Fantasy Action,"Egyptian gods wage war against evil across realms."
335,Wrath of the Titans,Fantasy Action,"Perseus fights to stop the Titans from destroying the world."
336,Clash of the Titans,Fantasy Action,"A demigod battles mythological creatures to save humanity."
